id	author_id	base_language	text	posted_time_in_years
4153	1134	hin	hahaha. jane do, i m outta politics for time being. yields no results, fighting on twitter.	2015
7059	1134	hin	itni politics ki desh ko bhi bech de? .. hudd hai.	2016
11137	1134	hin	this is another kind of politics played by anti nationals backed by antinational journos. sirf twitter pe rant karo and play victim card. but wont dare to register fir. coz they know the threat has been created by themselves.	2018
15964	1134	hin	chalo bahut hua politics. time for some  series..  / dont look at me like that../	2019
6608	1134	hin	sahi bole bhaijaan.	2016
7107	1134	hin	thats a big slap to barkha, kejriwal, nirupam and other bollywood brigade. koi nahi sunne wala	2016
15257	1134	hin	if bollywood had something new to offer, they wouldn’t have made  at first place.  saari creativity s me chod aaye hai ueh log.	2019
15104	642	hin	why will they be bothered? for them  banega pakistan, already been  yrs...pata nahi kab...it suits their politics, their army, large scale corruption is rampant. they'll screw everything that is remaining in that forsaken country	2019
16608	642	hin	love lag gaye new promo the first kiss  is out do watch it on  youtube channel. link on bio      #    @ mumbai, maharashtra	2020
480	3918	hin	""": ek hasina thi:   से""  the royal  politics   lol"	2014
109	2393	hin	"it's indeed a very sad news. as they say ""je sikh sikh nu na maare ta kaum kade na haare"". it's all coz of politics."	2014
6392	2393	hin	paji  ko nahi lekar gaye  ? he deserves to be there after all he's now part of .	2016
6614	2393	hin	punjabiyan di shan te jodi jihne bollywood naal apni sanjh, sada apna	2016
230	3789	hin	our lives teach us who we are- salman rushdie	2014
892	2096	hin	and yashwant sinha's son sinha jr? jayant sinha? he too is in politics. no dynasty now?	2014
886	2096	hin	anyone with a deep and abiding knowledge of france's politics: why was former french prez alain juppé a much hated man?	2014
8750	2096	hin	a huge database becomes a handy tool for government to target those who're seen as opponents. and this nda government is vicious and petty.	2017
710	2096	hin	hain? this is possible only in bollywood movies:)	2014
768	2096	hin	salman rushdie too:) and some say jinnah, but the last hasn't been verified.	2014
2118	3977	hin	although v won against pak but craze is not same as it was earlier in past sari excitement politics mai shift ho chuki hai&amp;that's bcoz of ak	2015
371	3113	hin	"aakhir kaar aa hi gayi akal thikane "": photographers have reportedly lifted the ban on salman khan"""	2014
426	3113	hin	""": dil khol ke rakhna doston, kal salman ek bar phir dil mein uttrega! all the best salman! love. a."""	2014
711	92	hin	"""surat piya ki na chhin bisa..."" from pt. vasantrao deshpande on !"	2014
580	1370	hin	“: नकली सपने दिखाने वाले हमसे आगे बढ़ गए: सोनिया गांधी -  और भयानक सपने िदखाने वाले बर्बाद हाे गये !!!	2014
1313	133	hin	bjp's tn cm candidate. : राजनीति में आ सकते हैं रजनीकांत, कहा- ईश्वर चाहेगा तो जनता की सेवा करूंगा	2014
